Sample in Buffer,Sample in Window,TRIGGER,filter_i/v_out[24:0],rst_1
373,373,0,8388499,0
374,374,0,8388499,0
375,375,0,8388499,0
376,376,0,8388499,0
377,377,0,8388499,0
378,378,0,8388499,0
379,379,0,8388499,0
380,380,0,8388499,0
381,381,0,8388499,0
382,382,0,8388499,0
383,383,0,8388499,0
384,384,0,8388499,0
385,385,0,8388499,0
386,386,0,8388499,0
387,387,0,8388499,0
388,388,0,8388499,0
389,389,0,8388499,0
390,390,0,8388499,0
391,391,0,8388499,0
392,392,0,8388499,0
393,393,0,8388499,0
394,394,0,8388499,0
395,395,0,8388499,0
396,396,0,8388499,0
397,397,0,8388499,0
398,398,0,8388499,0
399,399,0,8388499,0
400,400,0,8388499,0
401,401,0,8388499,0
402,402,0,8388499,0
403,403,0,8388499,0
404,404,0,8388499,0
405,405,0,8388499,0
406,406,0,8388499,0
407,407,0,8388499,0
408,408,0,8388499,0
409,409,0,8388499,0
410,410,0,8388499,0
411,411,0,8388499,0
412,412,0,8388499,0
413,413,0,8388499,0
414,414,0,8388499,0
415,415,0,8388499,0
416,416,0,8388499,0
417,417,0,8388499,0
418,418,0,8388499,0
419,419,0,8388499,0
420,420,0,8388499,0
421,421,0,8388499,0
422,422,0,8388499,0
423,423,0,8388499,0
424,424,0,8388499,0
425,425,0,8388499,0
426,426,0,8388499,0
427,427,0,8388499,0
428,428,0,8388499,0
429,429,0,8388499,0
430,430,0,8388499,0
431,431,0,8388499,0
432,432,0,8388499,0
433,433,0,8388499,0
434,434,0,8388499,0
435,435,0,8388499,0
436,436,0,8388499,0
437,437,0,8388499,0
438,438,0,8388499,0
439,439,0,8388499,0
440,440,0,8388499,0
441,441,0,8388499,0
442,442,0,8388499,0
443,443,0,8388499,0
444,444,0,8388499,0
445,445,0,8388499,0
446,446,0,8388499,0
447,447,0,8388499,0
448,448,0,8388499,0
449,449,0,8388499,0
450,450,0,8388499,0
451,451,0,8388499,0
452,452,0,8388499,0
453,453,0,8388499,0
454,454,0,8388499,0
455,455,0,8388499,0
456,456,0,8388499,0
457,457,0,8388499,0
458,458,0,8388499,0
459,459,0,8388499,0
460,460,0,8388499,0
461,461,0,8388499,0
462,462,0,8388499,0
463,463,0,8388499,0
464,464,0,8388499,0
465,465,0,8388499,0
466,466,0,8388499,0
467,467,0,8388499,0
468,468,0,8388499,0
469,469,0,8388499,0
470,470,0,8388499,0
471,471,0,8388499,0
472,472,0,8388499,0
473,473,0,8388499,0
474,474,0,8388499,0
475,475,0,8388499,0
476,476,0,8388499,0
477,477,0,8388499,0
478,478,0,8388499,0
479,479,0,8388499,0
480,480,0,8388499,0
481,481,0,8388499,0
482,482,0,8388499,0
483,483,0,8388499,0
484,484,0,8388499,0
485,485,0,8388499,0
486,486,0,8388499,0
487,487,0,8388499,0
488,488,0,8388499,0
489,489,0,8388499,0
490,490,0,8388499,0
491,491,0,8388499,0
492,492,0,8388499,0
493,493,0,8388499,0
494,494,0,8388499,0
495,495,0,8388499,0
496,496,0,8388499,0
497,497,0,8388499,0
498,498,0,8388499,0
499,499,0,8388499,0
500,500,0,8388499,0
501,501,0,8388499,0
502,502,0,8388499,0
503,503,0,8388499,0
504,504,0,8388499,0
505,505,0,8388499,0
506,506,0,8388499,0
507,507,0,8388499,0
508,508,0,8388499,0
509,509,0,8388499,0
510,510,0,8388499,0
511,511,0,8388499,0
512,512,0,8388499,0
513,513,0,8388499,0
514,514,0,8388499,0
515,515,0,8388499,0
516,516,0,8388499,0
517,517,0,8388499,0
518,518,0,8388499,0
519,519,0,8388499,0
520,520,0,8388499,0
521,521,0,8388499,0
522,522,0,8388499,0
523,523,0,8388499,0
524,524,0,8388499,0
525,525,0,8388499,0
526,526,0,8388499,0
527,527,0,8388499,0
528,528,0,8388499,0
529,529,0,8388499,0
530,530,0,8388499,0
531,531,0,8388499,0
532,532,0,8388499,0
533,533,0,8388499,0
534,534,0,8388499,0
535,535,0,8388499,0
536,536,0,8388499,0
537,537,0,8388499,0
538,538,0,8388499,0
539,539,0,8388499,0
540,540,0,8388499,0
541,541,0,8388499,0
542,542,0,8388499,0
543,543,0,8388499,0
544,544,0,8388499,0
545,545,0,8388499,0
546,546,0,8388499,0
547,547,0,8388499,0
548,548,0,8388499,0
549,549,0,8388499,0
550,550,0,8388499,0
551,551,0,8388499,0
552,552,0,8388499,0
553,553,0,8388499,0
554,554,0,8388499,0
555,555,0,8388499,0
556,556,0,8388499,0
557,557,0,8388499,0
558,558,0,8388499,0
559,559,0,8388499,0
560,560,0,8388499,0
561,561,0,8388499,0
562,562,0,8388499,0
563,563,0,8388499,0
